"gene_name","cells_above_default_threshold","max_avg_expression","above_default_threshold"
"Hist2h2aa1",0,0.192563,FALSE
"Hist2h3c1",0,0.083333,FALSE
"Hist2h4",0,0.041667,FALSE
"Hist2h2bb",0,0.00463,FALSE
"AC121792.1",0,0.009804,FALSE
"Gm4450",0,0.005181,FALSE
"Gm10681",0,0.125,FALSE
"Gm43121",0,0.004535,FALSE
"Gm42868",0,0.022989,FALSE
"Gm10964",0,0.012569,FALSE
"Atp5f1",14,0.461255,TRUE
"Pifo",27,1.146032,TRUE
"Olfr266",0,0.005181,FALSE
"Sars",4,0.4,TRUE
"5330417C22Rik",18,3.857143,TRUE
"1700013F07Rik",17,0.731092,TRUE
"Fam102b",4,0.333333,TRUE
"Tmem56",9,1.054995,TRUE
"1810037I17Rik",6,0.365079,TRUE
"Gm43653",0,0.008869,FALSE
"6330410L21Rik",0,0.033613,FALSE
"Gm43356",0,0.142857,FALSE
"Gm21962",0,0.008403,FALSE
"H2afz",61,3.258303,TRUE
"9530052C20Rik",0,0.02521,FALSE
"Gm43616",0,0.004011,FALSE
"Wdr63",18,4.176471,TRUE
"Gm37041",4,0.680672,TRUE
"Gm43572",0,0.006416,FALSE
"Gm43619",0,0.111111,FALSE
"B230334C09Rik",2,0.4,TRUE
"Gm11808",0,0.099631,FALSE
"Impad1",2,0.365639,TRUE
"2610301B20Rik",21,2.10084,TRUE
"Fam92a",18,0.831933,TRUE
"Ddx58",0,0.207254,FALSE
"1110017D15Rik",24,1.857143,TRUE
"Dnaic1",18,3.563025,TRUE
"Gm12405",0,0.000818,FALSE
"Gm13306",8,0.578231,TRUE
"Gm13305",0,0.001835,FALSE
"Gm12394",0,0.159664,FALSE
"Fam205a1",0,0.089888,FALSE
"Fam205c",6,0.378685,TRUE
"1700022I11Rik",13,0.94958,TRUE
"Fam214b",3,0.413793,TRUE
"Fam166b",0,0.076923,FALSE
"Olfr70",0,0.2,FALSE
"Olfr71",0,0.005181,FALSE
"Olfr156",0,0.012698,FALSE
"Tmem246",0,0.124717,FALSE
"Olfr275",0,0.0839,FALSE
"Olfr273",0,0.009524,FALSE
"Olfr272",0,0.002455,FALSE
"Olfr270",0,0.000818,FALSE
"4930412L05Rik",0,0.094926,FALSE
"AI427809",0,0.009434,FALSE
"Gm12511",0,0.152157,FALSE
"Gm12506",0,0.030588,FALSE
"Gm26657",0,0.022676,FALSE
"Pakap.1",24,1.641569,TRUE
"Olfr267",0,0.111111,FALSE
"Gm11213",14,1.198148,TRUE
"Gm26566",0,0.076923,FALSE
"Gm12609",0,0.142857,FALSE
"Gm12666",9,0.647059,TRUE
"B020004J07Rik",0,0.003145,FALSE
"Tctex1d1",11,0.536528,TRUE
"Wdr78",13,2.92437,TRUE
"Gm17662",0,0.083333,FALSE
"Lexm",0,0.182401,FALSE
"Hspb11",3,0.4,TRUE
"3110021N24Rik",40,3.8,TRUE
"Nrd1",57,2.630252,TRUE
"6430628N08Rik",0,0.076923,FALSE
"1700042G07Rik",25,1.702952,TRUE
"Tctex1d4",0,0.021739,FALSE
"Olfr62",0,0.010082,FALSE
"Olfr1338",0,0.003175,FALSE
"Olfr1333",0,0.006275,FALSE
"Olfr1331",0,0.076923,FALSE
"Olfr1330",0,0.2,FALSE
"Olfr1328",0,0.066667,FALSE
"Gm12863",0,0.011494,FALSE
"BX470216.1",0,0.017255,FALSE
"Ctps",20,0.692308,TRUE
"Gm8439",0,0.065882,FALSE
"1700021L23Rik",0,0.035242,FALSE
"9930104L06Rik",4,0.403361,TRUE
"Adprhl2",0,0.2,FALSE
"4930471C06Rik",2,0.739496,TRUE
"1700080G11Rik",0,0.12605,FALSE
"Yars",12,1.066667,TRUE
"C77080",2,0.252874,TRUE
"Gm12962",2,1.462185,TRUE
"AL607088.1",0,0.021739,FALSE
"Atpif1",57,1.660517,TRUE
"Gm7534",0,0.125,FALSE
"E130218I03Rik",0,0.083333,FALSE
"Grrp1",0,0.019332,FALSE
"1700037C06Rik",0,0.101476,FALSE
"Pqlc2",2,0.333333,TRUE
"Pramef8",0,0.133333,FALSE
"Gm13103",0,0.016807,FALSE
"C87977",0,0.002268,FALSE
